,SLC18A2,UNC13C,GAS1,AGTR1,SLC18A2,SLC6A3,TH,RBM3,DNAJB6,DLK1,ALDH1A1,JMJD6,CDH8,THAP2,PPP4R2,EBF3,CASTOR3P,P2RX7,LINC01549,SV2C,label
GSM184364,4.52120622743879,7.62128392780087,6.68901311129287,3.26100539456401,6.22551959528187,6.68639556625926,4.95099995806013,3.01146059580151,7.48276892804989,4.11002313628922,8.30790468114134,6.95935734290965,3.49244327582903,5.66391363052815,8.10763813416559,4.28444114623443,5.88974394884713,8.75014202080791,3.32974590952157,5.06304386158741,PD
GSM184365,3.93109181279623,2.93520406623764,5.65225217627449,3.13465338811782,5.49561068242909,6.13825375770121,4.5679200716191,4.2845673521326,6.173025068049,4.42054454462447,8.38406354922609,5.95437345049968,3.65582413635495,4.85442372049143,7.19632206716271,4.15017413194656,6.05576715328815,9.34803739368649,4.60862324300241,4.51820081608116,PD
GSM184366,3.7005212833091,4.24654311538934,5.88286667268681,2.99236954237035,4.86202475608042,4.3609042457493,3.18998957174951,5.54003417803326,6.066783042727,4.03746364746913,6.19614294526922,5.14126976363549,5.80202412475196,3.72096328773951,6.5834040745963,4.16766381821506,6.58180185801817,8.13969425045994,3.6566033866607,7.13945067844827,PD
GSM184367,4.28112827620999,2.99242465883662,7.11563834887254,3.37198550785342,5.92324023160145,6.07560527011882,4.55044700742319,3.33601555389966,8.13819903212846,3.90404077728597,7.24022044647188,6.4103711149653,4.7637147086739,5.30701264076232,7.83883154152169,4.60590023897647,6.52471880033891,9.54608829359143,3.79316571733224,5.82502650329932,PD
GSM184368,4.54444330441521,3.90471028312886,5.99930117435331,3.40939814733949,7.65860018659696,8.64428161974664,6.82430260467784,4.75905531965055,7.26815538954217,6.32404043805877,8.90085287745126,6.28127643016348,4.47815786988435,4.74442219428187,7.24317935691355,4.92364106989019,6.57626267188653,8.55189077196524,4.96588760520123,5.7387182563313,PD
GSM184369,4.22861875988584,2.59896097046096,6.35741031615352,3.19632922675539,6.04769397612226,5.33929782447537,3.5307549846568,3.05208082060491,6.92634687862909,3.7726936945592,8.05501210026135,6.01833966153264,4.23155232497437,4.80958938526152,7.69846131119774,4.16417253090637,6.43076919350321,9.48658398477946,4.41201702814411,4.78412510734409,PD
GSM184370,4.15063012465226,2.49437554039897,6.081749790958,3.19812405579543,4.90147149157854,5.26078075973898,4.06779262416694,2.73483844280774,7.14687643860153,4.00674296878734,7.73393054517137,6.86795780797263,4.78440515074412,5.1854803004776,7.45254603730045,4.54298504439439,5.4142781780699,9.92548740601219,4.55566154100088,4.78289490918803,PD
GSM184371,4.46785735727176,4.52129293603743,5.85664788501579,3.89709039758167,8.64030417359266,8.32774416556584,7.12030183994773,5.96096060698673,6.29279437274631,5.11875394722788,9.0314179903025,5.92777306050961,4.9243255039561,4.85352185382303,6.91817904924083,5.23322909947024,6.60690855741744,8.64273015049513,5.92655489084259,6.20716486359661,PD
GSM184372,3.90857601508618,2.92869870213782,6.40086703943399,3.14980154916043,4.5145936819411,5.36967114529183,2.80011976338055,2.92887519478828,6.65364600256683,3.58606289014268,6.78937480245298,6.64816659184017,4.52629273746546,4.41009381801057,7.18966837268299,3.93213987328021,6.282266704598,9.06218038409169,4.45082654060133,4.94316914799478,PD
GSM184373,5.76382937133537,3.93213987328021,6.2661493588022,3.41126882588326,8.24115378115136,8.1167933930489,6.89250296397697,4.23905275785341,6.65432950222459,4.80013091713565,8.32560157166883,5.79897520304505,5.40042807132044,4.47547388301113,7.06000413224547,4.91676509448304,6.42335806905271,8.14246265897939,5.0732330088614,6.92051023830915,PD
GSM184374,4.54158963479545,3.64405080826388,6.25846296834444,3.17960392462581,6.45667968956802,6.40270100030922,6.18208141946511,2.90446445421676,7.68814561901589,4.41498539383299,8.69052241984011,7.07673591388132,5.11685948201664,4.96145974231695,7.36718022245551,5.01230453645387,5.09212507205212,8.62011042228407,4.35413361119612,5.94783177063236,PD
GSM184375,4.31585175349218,3.98486204971926,6.39614785086586,3.5680932404892,5.94933468411349,6.00315931742739,4.76247643335927,2.97260189716294,7.4792156923001,4.55292283386851,7.68207539674648,6.31984656553277,4.44328504262125,4.82116707031033,7.67209444868977,4.60631626389532,6.05946368404262,9.07748699186597,4.15853080537753,5.51236031792253,PD
GSM184376,4.00475059538448,4.57361102878293,6.21305295426932,3.11872977280921,5.61178317935741,5.99992159887954,6.05017403481551,3.19998862501923,7.68334669188811,4.57292549222398,6.09761233872923,6.90279560755916,3.95182269872368,4.2850722688886,6.91770086401324,4.86736167182842,5.98706811241718,8.76652807322944,3.43340800338643,5.22925203367555,PD
GSM184377,3.8587057507222,2.57927890608913,6.50174619752328,3.04260848241878,5.45418980353229,6.26805051471359,3.30230228985511,3.41229169320272,6.9043669017686,3.63454750132144,7.45401559314108,6.62442067372373,4.5172927676044,4.84052068127591,7.8305075847992,4.14213453995886,5.71366124862741,9.90645558827087,4.60567970264302,4.88323743241306,PD
GSM184378,5.24359276994777,4.21943501194804,6.1859045633538,3.2240636493561,8.30998180525244,7.95946786826995,6.50327711717529,7.34874233238653,5.74309343485015,4.59855158957631,8.43426014702198,4.6609895043716,4.59103340816615,3.65667297612,6.53440803120723,6.00720119529124,7.15764406804715,8.4107064179117,5.02478474735419,6.04682649344278,PD
