,SLC18A2,UNC13C,GAS1,AGTR1,SLC18A2,SLC6A3,TH,RBM3,DNAJB6,DLK1,ALDH1A1,JMJD6,CDH8,THAP2,PPP4R2,EBF3,CASTOR3P,P2RX7,LINC01549,SV2C,label
GSM184354,5.38797984247684,6.31741529061741,4.77273169199001,5.65161981305257,8.86481045214014,8.17008855248277,6.52436795658555,7.29002000372651,6.36375202789781,5.62927207285371,9.00545332126773,5.69729494487749,6.01458879387183,4.06318374677232,6.57013706548255,5.31752600426361,6.9029197340645,8.00551224185573,6.92662819343786,6.53551007759737,Normal
GSM184355,5.75275343468817,3.62525700372117,6.25631338108923,3.54287711588471,7.22053768019489,6.74893569373747,5.53837461049681,6.8671776871567,5.7426781305491,5.81313492385267,8.16928688026609,5.0996909130246,6.37910414257498,3.86676912037076,6.62734093540683,5.32006105119694,6.82545547409237,8.58807806440525,6.13640090047098,6.68263292701126,Normal
GSM184356,8.51994287651343,7.09622688551021,4.91250202477678,6.6691219504407,10.3796059754475,9.89414487521383,9.19844789143174,7.35910273214866,5.62027988710077,7.3283224323895,10.6921020167158,5.31535149523621,6.8048677975459,4.26342716575846,7.18943811728073,7.1016577953909,7.6952774511547,8.05393089068145,5.13933343152496,8.54997999408441,Normal
GSM184357,6.74731190426768,5.52756739482463,4.25466985148112,5.19157478418508,8.89277661575962,7.77256346554954,7.09074930134173,8.39204369964302,5.14917221335627,5.50666586730769,9.26258856914195,4.43459189545656,4.90741757637731,2.90157598980634,4.61278314692344,5.32119669412751,6.86996924801518,7.63168265229979,4.62374848119811,6.47283753159949,Normal
GSM184358,3.91263357656032,4.72279266847123,5.43061045075454,3.21102455832201,5.88830502008133,6.93042110747533,5.74330104308003,7.28278913525806,5.04342440290197,4.03746364746913,8.44980833731921,5.15722459454786,4.67178316196585,3.27003408117924,6.03164212958338,4.4421229281882,7.62387112747329,7.81653674102259,6.26974197061037,5.20502402834,Normal
GSM184359,5.79341136574129,6.1134076505997,5.52903903961896,4.10501051813087,9.01839538444519,9.19033844171127,7.39840305625203,4.44037943227362,5.74649933266478,6.27340603396315,9.0042695069292,5.44816397124122,5.1997133116011,3.3918334352774,6.92555551415644,5.4119513294617,6.85269124099308,7.89067586302998,5.06463542645316,7.00138693279367,Normal
GSM184360,9.29916571458276,8.3601377391256,4.93545466518973,8.0171300104202,11.4261534120472,10.9602506665563,10.1749612188001,6.24125211882337,5.9891724105066,8.57925862369607,12.0246152408487,5.42962219962801,7.56155649272509,3.83057824546308,6.11823274587042,7.60122848931724,7.39405955755496,7.43578558992578,5.39559601622392,9.70163933930243,Normal
GSM184361,6.27624226054275,6.6515946446969,5.4065383105024,4.84386153176788,9.953308561654,9.7803955559217,8.82588151894976,5.83738953851325,5.81743307045531,6.08309637529665,9.6269359889848,5.5528414007014,5.94853172125749,4.0943303110438,6.06031755269371,6.6609277563907,7.47641847247621,7.97412737393079,6.7591282746064,7.45372680507679,Normal
GSM184362,8.33046453626588,7.91394730401177,4.97677558343152,7.49275055412943,10.8990974067599,10.5585187616393,9.98083840062067,6.59440688372526,5.88579440253265,7.87574069270845,11.7606199991701,4.96595769564529,7.04573333571428,3.52237392245827,6.06377029352157,7.49764958692947,7.59044771218708,7.65737624626009,6.08407545031019,9.15481411398119,Normal
GSM184363,4.01656841205902,2.98027129469853,6.2786448885247,3.22651250453913,5.24225721041373,5.72252585508863,3.6576920339484,3.43407106113455,6.86331480022166,4.15059247258732,8.06403905208976,6.43494746929194,4.46464739130824,4.98100658119036,7.48724394316812,4.11273382734898,6.06470660823299,9.17684313356012,4.31532559312316,5.25325958619256,PD
